Highway Rise
25.860649 24.557943
25.933872 24.581989
26.006851 24.605247
26.079592 24.627729
26.152103 24.649448
26.224396 24.67042
26.296478 24.690659
26.368355 24.710173
26.440039 24.728979
26.511536 24.747089
26.582855 24.764515
26.654005 24.781267
26.724991 24.797359
26.795818 24.812803
26.866501 24.827608
26.93704 24.841787
27.007444 24.855349
27.077719 24.868305
27.147871 24.880665
27.217909 24.892439
27.287834 24.903637
27.357656 24.914268
27.42738 24.924341
27.497011 24.933865
27.566551 24.942848
27.636011 24.9513
27.705391 24.959227
27.774698 24.966639
27.843937 24.973541
27.913109 24.979942
27.98222 24.985849
28.051273 24.991268
28.120274 24.996206
28.189226 25.000669
28.258129 25.004663
28.326992 25.008194
28.395811 25.011267
28.464592 25.013889
28.533339 25.016062
28.602053 25.017792
28.670736 25.019083
28.739389 25.019941
28.808016 25.020369
28.876617 25.020369
28.945194 25.019945
29.013746 25.019102
29.082277 25.017841
29.150787 25.016165
29.219276 25.014076
29.287745 25.011578
29.356194 25.008671
29.424622 25.005356
29.493031 25.001635
29.561419 24.997509
29.629786 24.992981
29.698132 24.988049
29.766455 24.982712
29.834753 24.976973
29.90303 24.970831
29.971281 24.964283
30.039507 24.957331
30.107708 24.949972
30.175884 24.942207
30.244036 24.934032
30.31216 24.925446
30.38026 24.916447
30.448334 24.90703
30.516384 24.897194
30.58441 24.886938
30.652407 24.876257
30.720383 24.865145
30.788334 24.853601
30.856264 24.841621
30.92417 24.829199
30.992054 24.81633
31.059919 24.803011
31.127766 24.789234
31.195591 24.774996
31.263401 24.76029
31.331194 24.74511
31.398973 24.729448
31.46674 24.713301
31.534492 24.696659
31.602238 24.679516
31.669973 24.661865
31.737701 24.643696
31.805428 24.625004
31.87315 24.605778
31.94087 24.58601
32.008591 24.565691
32.076321 24.544813
32.144051 24.523367
32.211796 24.501341
32.279545 24.478725
32.347313 24.455513
32.415092 24.431688
32.482895 24.407246
32.550716 24.38217
32.618565 24.356453
32.68644 24.33008
32.754345 24.303041
32.822289 24.275322
32.890266 24.246914
32.958282 24.2178
33.026348 24.187971
33.09446 24.15741
33.162621 24.126106
33.230839 24.094044
33.299114 24.061211
33.367455 24.02759
33.435863 23.99317
33.504341 23.957932
33.572895 23.921864
33.641529 23.884949
33.710243 23.84717
33.779053 23.808514
33.84795 23.768963
33.916946 23.728498
33.986046 23.687107
34.055252 23.644768
34.124565 23.601469
34.194004 23.557186
34.263561 23.511906
34.333244 23.465607
34.403061 23.418274
34.473015 23.369884
34.54311 23.320423
34.613358 23.269867
34.683758 23.218199
34.754318 23.165398
34.825043 23.111443
34.895943 23.056314
34.967014 22.999992
35.038277 22.942453
35.109726 22.883678
35.18137 22.823645
35.253216 22.762333
35.325272 22.699717
35.397545 22.635777
35.470036 22.570488
35.542759 22.503828
35.615715 22.435776
35.688915 22.366302
35.76236 22.295393
35.836067 22.223015
35.91003 22.149149
35.984268 22.073767
36.058784 21.996847
36.133583 21.918362
36.208675 21.838287
36.284069 21.756596
36.359768 21.673262
36.435783 21.588261
36.512123 21.501566
36.588791 21.413147
36.665802 21.322981
36.743156 21.231039
36.820869 21.137293
36.898941 21.041716
36.977386 20.944277
37.056213 20.84495
37.135429 20.743706
37.215042 20.640514
37.295067 20.535343
37.3755 20.428175
37.45636 20.318964
37.537647 20.207693
37.619385 20.09432
37.701565 19.978825
37.784214 19.861168
37.867325 19.741327
37.95092 19.619259
38.035 19.494946
38.119583 19.36834
38.20467 19.239424
38.290276 19.10815
38.376408 18.974501
38.463078 18.838432
38.550297 18.699915
38.638073 18.558914
38.726414 18.415396
38.815334 18.269325
38.904846 18.120668
38.994953 17.969391
39.08567 17.815456
39.17701 17.658831
39.268978 17.499477
39.361588 17.33736
39.454853 17.172443
39.548779 17.00469
39.643383 16.834059
39.738667 16.660528
39.834656 16.484035
39.931347 16.304573
40.028763 16.122074
40.126904 15.936523
40.225792 15.747864
40.325436 15.556074
40.425846 15.361097
40.527031 15.162913
40.629013 14.961462
40.731789 14.756724
40.835388 14.54864
40.939812 14.337184
41.045074 14.12231
41.151188 13.903975
41.258167 13.682141
41.36602 13.456767
41.47477 13.227807
41.584415 12.995223
41.694977 12.758971
41.806469 12.519007
41.9189 12.275291
42.032288 12.027777
42.146641 11.776423
42.261978 11.521179
42.378304 11.262019
42.495644 10.998876
42.613998 10.731728
42.733398 10.460504
42.853836 10.185188
42.975342 9.905705
43.097923 9.622038
43.221596 9.334114
43.346371 9.041914
43.472267 8.745361
43.599297 8.444441
43.727474 8.139076
43.856812 7.829241
43.987328 7.514879
44.119034 7.195942
44.251945 6.872387
44.386078 6.544161
44.521446 6.211214
44.658066 5.873503
44.795952 5.530972
44.93512 5.183575
45.075581 4.831264
45.217354 4.473984
45.360455 4.111687
45.504902 3.744314
45.6507 3.37184
45.797878 2.994179
45.946442 2.611315
46.096413 2.223162
46.247803 1.829699
46.400635 1.430838
46.554916 1.026569
46.71067 0.616798
46.867905 0.201511
47.026653 -0.219389
47.186909 -0.645905
47.348709 -1.078146
47.512058 -1.516123
47.676975 -1.959908
