Cherry Blossom
36.927849 8.678903
36.96949 8.945785
37.009487 9.217366
37.047825 9.493723
37.084457 9.774888
37.11937 10.060896
37.152519 10.35181
37.183891 10.647693
37.213436 10.948579
37.241138 11.254504
37.26696 11.565531
37.290871 11.881725
37.31284 12.203122
37.332836 12.529757
37.350834 12.86171
37.366787 13.199001
37.380676 13.541715
37.39246 13.889868
37.402115 14.243548
37.409603 14.602769
37.414894 14.967623
37.41795 15.33812
37.418743 15.714355
37.417236 16.09634
37.413403 16.484173
37.407192 16.877859
37.398594 17.277496
37.387558 17.683098
37.37405 18.094759
